iter	Passed	Remaining
0	109	54538
1	191	47596
2	268	44393
3	347	43050
4	434	42973
5	513	42223
6	593	41697
7	670	41168
8	745	40600
9	825	40371
10	901	39973
11	974	39565
12	1051	39321
13	1126	39037
14	1201	38763
15	1273	38456
16	1348	38238
17	1423	38029
18	1444	36495
19	1536	36788
20	1615	36769
21	1693	36719
22	1766	36566
23	1842	36466
24	1917	36359
25	1994	36288
26	2071	36212
27	2153	36217
28	2229	36136
29	2304	36026
30	2382	35963
31	2459	35893
32	2537	35835
33	2614	35754
34	2691	35679
35	2766	35577
36	2855	35649
37	2959	35904
38	3050	35985
39	3135	35977
40	3214	35910
41	3302	35933
42	3381	35854
43	3459	35774
44	3534	35662
45	3609	35542
46	3685	35443
47	3763	35364
48	3837	35245
49	3916	35170
50	3990	35053
51	4063	34932
52	4137	34819
53	4214	34728
54	4291	34644
55	4366	34543
56	4442	34447
57	4520	34373
58	4594	34262
59	4671	34176
60	4761	34192
61	4836	34086
62	4912	33995
63	4989	33913
64	5063	33806
65	5136	33697
66	5210	33596
67	5284	33495
68	5360	33407
69	5440	33343
70	5514	33241
71	5589	33151
72	5664	33053
73	5737	32953
74	5811	32854
75	5888	32771
76	5963	32681
77	6039	32597
78	6113	32503
79	6189	32419
80	6266	32336
81	6339	32236
82	6413	32142
83	6489	32060
84	6564	31972
85	6642	31899
86	6718	31814
87	6792	31726
88	6865	31626
89	6951	31588
90	7021	31482
91	7096	31394
92	7170	31304
93	7246	31219
94	7323	31144
95	7398	31057
96	7472	30969
97	7550	30894
98	7625	30811
99	7699	30719
100	7774	30635
101	7848	30549
102	7923	30462
103	8000	30387
104	8076	30306
105	8155	30238
106	8229	30150
107	8307	30076
108	8385	30002
109	8460	29920
110	8534	29833
111	8607	29743
112	8681	29655
113	8757	29574
114	8835	29504
115	8911	29423
116	8984	29335
117	9060	29255
118	9135	29171
119	9224	29134
120	9307	29076
121	9381	28990
122	9456	28908
123	9531	28826
124	9610	28753
125	9686	28676
126	9762	28596
127	9838	28515
128	9913	28433
129	10032	28476
130	10108	28397
131	10182	28311
132	10257	28228
133	10334	28150
134	10410	28069
135	10492	28005
136	10568	27926
137	10639	27833
138	10711	27740
139	10785	27658
140	10860	27575
141	10936	27495
142	11012	27414
143	11087	27333
144	11164	27257
145	11241	27179
146	11319	27105
147	11408	27055
148	11482	26973
149	11557	26891
150	11629	26802
151	11704	26720
152	11779	26639
153	11854	26558
154	11928	26474
155	12003	26393
156	12077	26309
157	12153	26229
158	12231	26156
159	12305	26072
160	12381	25992
161	12456	25911
162	12530	25829
163	12605	25749
164	12680	25667
165	12756	25588
166	12833	25512
167	12907	25430
168	12983	25352
169	13059	25274
170	13137	25199
171	13212	25118
172	13287	25037
173	13361	24956
174	13435	24875
175	13510	24794
176	13584	24712
177	13663	24639
178	13739	24561
179	13816	24485
180	13892	24408
181	13968	24329
182	14041	24246
183	14115	24164
184	14190	24084
185	14265	24006
186	14341	23927
187	14415	23846
188	14491	23768
189	14564	23686
190	14638	23605
191	14715	23528
192	14793	23455
193	14867	23374
194	14941	23293
195	15015	23212
196	15095	23141
197	15168	23059
198	15245	22982
199	15317	22899
200	15392	22820
201	15465	22739
202	15540	22660
203	15613	22578
204	15686	22497
205	15759	22415
206	15834	22336
207	15907	22255
208	15981	22175
209	16057	22098
210	16132	22019
211	16207	21941
212	16282	21863
213	16360	21788
214	16433	21707
215	16509	21629
216	16588	21557
217	16663	21478
218	16738	21401
219	16814	21323
220	16889	21245
221	16965	21168
222	17040	21090
223	17113	21010
224	17192	20937
225	17270	20862
226	17345	20784
227	17421	20707
228	17496	20628
229	17571	20550
230	17648	20475
231	17723	20397
232	17796	20316
233	17876	20244
234	17951	20167
235	18027	20089
236	18099	20008
